t,P,Q
55,0.000827318,-0.000299484
55.1,0.000836036,-0.000295083
55.2,0.000835482,-0.000294102
55.3,0.000837069,-0.000288015
55.4,0.00084894,-0.000290357
55.5,0.000850577,-0.000287544
55.6,0.000857859,-0.000283779
55.7,0.000861637,-0.000284441
55.8,0.000870864,-0.000282249
55.9,0.00086839,-0.000283487
56,0.000878013,-0.000276695
56.1,0.000879628,-0.000281321
56.2,0.000892565,-0.000283229
56.3,0.000889237,-0.000272608
56.4,0.00089648,-0.000273816
56.5,0.000902783,-0.000263903
56.6,0.000914771,-0.000267354
56.7,0.000915122,-0.000258663
56.8,0.000926779,-0.000262293
56.9,0.000938181,-0.000248893
57,0.000953166,-0.000245672
57.1,0.000959989,-0.000251125
57.2,0.000975013,-0.000252728
57.3,0.000982951,-0.00024482
57.4,0.00100224,-0.000248151
57.5,0.001007635,-0.000245917
57.6,0.001020148,-0.000247871
57.7,0.001031839,-0.000252246
57.8,0.001041743,-0.000257385
57.9,0.001054326,-0.000256769
58,0.001067934,-0.000265257
58.1,0.001069321,-0.000255689
58.2,0.001093149,-0.000256908
58.3,0.00110546,-0.000250522
58.4,0.001119561,-0.000240372
58.5,0.001131248,-0.000226559
58.6,0.001141565,-0.000216241
58.7,0.001150948,-0.000203741
58.8,0.001157129,-0.000200558
58.9,0.00116577,-0.000193886
59,0.001162436,-0.000195146
59.1,0.001161042,-0.000205941
59.2,0.001162916,-0.000207501
59.3,0.001161213,-0.000217877
59.4,0.001164841,-0.000219968
59.5,0.00116395,-0.000224344
59.6,0.001172133,-0.000227091
59.7,0.00117202,-0.000228448
59.8,0.001170814,-0.000227557
59.9,0.001175292,-0.00022805
60,0.001176777,-0.000221148
60.1,0.001185672,-0.0002191
60.2,0.001187274,-0.000214149
60.3,0.001191679,-0.000212281
60.4,0.001198987,-0.000204631
60.5,0.001198065,-0.000202004
60.6,0.001219018,-0.000200837
60.7,0.001222046,-0.000197093
60.8,0.001229385,-0.000193197
60.9,0.001227384,-0.000189704
61,0.001231315,-0.000181937
61.1,0.001237864,-0.000177548
61.2,0.001235242,-0.000173308
61.3,0.001233998,-0.000174325
61.4,0.001233899,-0.000172223
61.5,0.001230998,-0.000171869
61.6,0.00123236,-0.000166592
61.7,0.001242426,-0.000171401
61.8,0.001243123,-0.000167373
61.9,0.001240931,-0.000172235
62,0.001229652,-0.000168793
62.1,0.001230103,-0.000171328
62.2,0.001229205,-0.000171912
62.3,0.001230394,-0.000177594
62.4,0.001248453,-0.000175123
62.5,0.00125915,-0.000182542
62.6,0.001268727,-0.000180511
62.7,0.001277405,-0.000185441
62.8,0.001286467,-0.00019539
62.9,0.001290281,-0.000203122
63,0.001299087,-0.000205417
63.1,0.001303979,-0.0002086
63.2,0.001306009,-0.000217729
63.3,0.001314503,-0.000219233
63.4,0.00132073,-0.000224433
63.5,0.001320146,-0.000220804
63.6,0.001313947,-0.000219656
63.7,0.001318909,-0.000215202
63.8,0.001315925,-0.000213345
63.9,0.001315574,-0.00020615
64,0.001309663,-0.000193396
64.1,0.0013089,-0.000192335
64.2,0.001308266,-0.000175568
64.3,0.001303465,-0.000178989
64.4,0.001300687,-0.00016377
64.5,0.001299656,-0.000164645
64.6,0.001299902,-0.000158141
64.7,0.001290792,-0.00015785
64.8,0.001297371,-0.000157878
64.9,0.001294532,-0.000147554
65,0.001288196,-0.000149005
65.1,0.001296009,-0.000140757
65.2,0.001287864,-0.000141519
65.3,0.001285903,-0.000148897
65.4,0.00128942,-0.00014054
